Timestamp,What is your age?,What is your academic year?,Major(Check multiple if applicable),Are you a student-athlete?,What sport do you watch most often?,When do you most often watch sports?,Where do you most often watch sports?,Why do you watch this sport most often?,Why do you usually watch sports at that time?,Why do you usually watch sports in that location?,How many hours per week do you watch sports?,Do you follow sports primarily for entertainment or competition?
1/26/2026 15:56:10,21,Junior,Exercise Science,Yes,Baseball (MLB),Weekend evenings,In a dorm / apartment,I played this sport,Fits my schedule,Most comfortable,3–5,Both equally
2/1/2026 21:50:22,21,Junior,Chemistry,Yes,Basketball (NBA or College),Weekend evenings,At a friend’s place,I follow a specific team or athletes,Fits my schedule,Social environment,11–15,Both equally
2/1/2026 21:50:39,21,Senior,Accounting/Finance,Yes,Baseball (MLB),Weekend afternoons,In a dorm / apartment,I played this sport,Games are usually on then,Most comfortable,3–5,Entertainment
2/1/2026 21:51:16,21,Junior,Communications,Yes,Football (NFL or College),Weekend afternoons,At the stadium / arena,I follow a specific team or athletes,Fits my schedule,Social environment,6–10,Competition
2/1/2026 21:51:20,21,Senior,Finance,Yes,Basketball (NBA or College),Weekend evenings,At a friend’s place,Social activity with friends,Games are usually on then,Social environment,0–2,Entertainment
2/1/2026 21:51:46,21,Junior,Economics,Yes,Baseball (MLB),Late night,At a friend’s place,I grew up watching it,Friends are available then,Social environment,0–2,Both equally
2/1/2026 21:52:10,22+,Graduate or 5th Year,Finance,Yes,Basketball (NBA or College),Weekend afternoons,At home,Entertainment / relaxation,Games are usually on then,Easy access,16+,Both equally
2/1/2026 21:54:23,18,Freshman,Dual Degree Engineering,Yes,Football (NFL or College),Weekend evenings,At a friend’s place,I grew up watching it,Games are usually on then,Social environment,6–10,Entertainment
2/1/2026 21:54:44,22,Senior,Exercise Science,Yes,Football (NFL or College),Weekend afternoons,In a dorm / apartment,I played this sport,Best time to relax,Easy access,11–15,Both equally
2/1/2026 21:54:51,21,Junior,Biology,No,Hockey,Weekend evenings,In a dorm / apartment,I grew up watching it,Fits my schedule,Most comfortable,6–10,Both equally
2/1/2026 21:55:15,20,Sophomore,Biology,Yes,Baseball (MLB),Weekend evenings,In a dorm / apartment,I played this sport,Games are usually on then,Easy access,6–10,Both equally
2/1/2026 22:06:52,22,Senior,Finance,Yes,Football (NFL or College),Weekend evenings,At a friend’s place,Social activity with friends,Games are usually on then,Best viewing experience,3–5,Both equally
2/1/2026 22:16:01,18,Freshman,Accounting,Yes,Basketball (NBA or College),Weekday evenings,In a dorm / apartment,I follow a specific team or athletes,Games are usually on then,Easy access,6–10,Both equally
2/1/2026 22:18:00,20,Junior,"Data Analytics, Finance",Yes,Football (NFL or College),Weekend evenings,At a friend’s place,Entertainment / relaxation,Friends are available then,Most comfortable,6–10,Entertainment
2/1/2026 23:12:41,20,Sophomore,"Accounting, Finance",Yes,Football (NFL or College),Weekend afternoons,At a friend’s place,I grew up watching it,Best time to relax,Most comfortable,0–2,Entertainment
2/1/2026 23:27:07,20,Junior,Marketing,Yes,Baseball (MLB),Weekend evenings,At home,I played this sport,Fits my schedule,Most comfortable,0–2,Entertainment
2/2/2026 9:58:51,21,Senior,"Accounting, Finance",Yes,Baseball (MLB),Weekend afternoons,In a dorm / apartment,I follow a specific team or athletes,Best time to relax,Most comfortable,3–5,Both equally
